iter	Passed	Remaining
0	0	61
1	1	53
2	1	48
3	1	42
4	2	41
5	2	40
6	2	39
7	3	38
8	3	37
9	4	37
10	4	37
11	5	36
12	5	36
13	5	35
14	6	35
15	6	34
16	6	33
17	7	33
18	7	32
19	8	32
20	8	31
21	8	31
22	9	30
23	9	30
24	10	30
25	10	29
26	10	29
27	11	28
28	11	28
29	12	28
30	12	27
31	12	27
32	13	26
33	13	26
34	14	26
35	14	25
36	14	25
37	15	24
38	15	24
39	15	23
40	16	23
41	16	22
42	16	22
43	17	22
44	17	21
45	18	21
46	18	20
47	18	20
48	19	20
49	19	19
50	20	19
51	20	19
52	21	18
53	21	18
54	21	17
55	22	17
56	22	16
57	22	16
58	23	16
59	23	15
60	24	15
61	24	15
62	25	14
63	25	14
64	26	14
65	26	13
66	27	13
67	27	12
68	27	12
69	28	12
70	28	11
71	29	11
72	29	11
73	30	10
74	30	10
75	31	9
76	31	9
77	31	9
78	32	8
79	32	8
80	33	7
81	33	7
82	34	6
83	34	6
84	35	6
85	35	5
86	35	5
87	36	4
88	36	4
89	37	4
90	37	3
91	38	3
92	38	2
93	39	2
94	39	2
95	40	1
96	40	1
97	41	0
98	41	0
99	41	0
